Best Price,Per Amount,Single Price,Product Name,Link,Category,Varietal,Size,Standard Drinks,Alcohol Volume,Country,Brand Name,Closure,Whisky Style,Age,Region,Current Vintage,State,Wine Style,Vegan Friendly,Beer Style,Organic,Food Match,Wine Maker,Spirit Style,Wine Body,Cellar Release,Cider Style,Langtons Classified
$31.4,1,$31.4,Classic Rutherglen Topaque 500mL,https://www.danmurphys.com.au/product/DM_916853/pfeiffer-classic-rutherglen-topaque-500ml,Tokay Topaque,Topaque,500mL,6.9,17.5% (Non Vintage),Australia,Pfeiffer,Screw Cap,,,Rutherglen,Non Vintage*,Victoria,Sweet,,,,,,,,,,
$21.9,1,$21.9,Rutherglen Topaque 500mL,https://www.danmurphys.com.au/product/DM_916850/pfeiffer-rutherglen-topaque-500ml,Tokay Topaque,Tokay,500mL,6.9,17.5% (Non Vintage),Australia,Pfeiffer,Screw Cap,,,,Non Vintage*,Victoria,Sweet,,,,,,,,,,
$29.5,1,$29.5,DP57 Grand Topaque 500mL,https://www.danmurphys.com.au/product/DM_916261/seppeltsfield-dp57-grand-topaque-500ml,Tokay Topaque,Topaque,500mL,6.7,17.0% (Non Vintage),Australia,Seppeltsfield,Screw Cap,,,Rutherglen,Non Vintage*,Victoria,Sweet,,,,,,,,,,
$11.9,1,$11.9,No 6 Topaque,https://www.danmurphys.com.au/product/DM_916268/seppeltsfield-no-6-topaque,Tokay Topaque,Topaque,750mL,10.1,17.00%,Australia,Seppeltsfield,Screw Cap,,,Rutherglen,Non Vintage,Victoria,Sweet,,,,,,,,,,
$66.5,1,$66.5,Rare Topaque 375mL,https://www.danmurphys.com.au/product/DM_917727/seppeltsfield-rare-topaque-375ml,Tokay Topaque,Topaque,375mL,5,17.00%,Australia,Seppeltsfield,Cork,,,Rutherglen,Non Vintage,Victoria,Sweet,,,,,,,,,,
$24.7,1,$24.7,Durif,https://www.danmurphys.com.au/product/DM_916638/all-saints-durif,Durif,Durif,750mL,8.3,14.0% (2012),Australia,All Saints,Screw Cap,,,Rutherglen,2012*,Victoria,Dry,,,,,,,,,,
$12.0,6,$13.49,Metal Label Durif 2019,https://www.danmurphys.com.au/product/DM_ER_1000005764_F18DURMETAU6/berton-vineyards-metal-label-durif-2019,Durif,Durif,750mL,8.6,14.5%,Australia,Berton Vineyards,Screw Cap,,,Riverina,2019,New South Wales,Dry,,,,Beef,James Ceccato,,Full Bodied,,,
$26.599999999999998,12,$26.6,Balladeer Rutherglen Durif,https://www.danmurphys.com.au/product/DM_838631/buller-wines-balladeer-rutherglen-durif,Durif,,750mL,8.3,14%,Australia,Buller Wines,Screw Cap,,,Rutherglen,Non Vintage,Victoria,Dry,,,,,,,,,,
$18.099999999999998,12,$18.1,Rutherglen Durif,https://www.danmurphys.com.au/product/DM_33992/buller-wines-rutherglen-durif,Durif,,750mL,8.5,14.3%,Australia,Buller Wines,Screw Cap,,,Rutherglen,Non Vintage,Victoria,Dry,,,,,,,,,,
$21.88,1,$21.88,Rutherglen Durif,https://www.danmurphys.com.au/product/DM_917633/campbells-rutherglen-durif,Durif,Durif,750mL,8.8,15%,Australia,Campbells,Screw Cap,,,Rutherglen,2016*,Victoria,Dry,,,,,Colin Campbell,,,,,
$52.3,1,$52.3,The Barkly Durif,https://www.danmurphys.com.au/product/DM_67910/campbells-the-barkly-durif,Durif,Durif,750mL,8.3,13%,Australia,Campbells,Cork,,,Rutherglen,2013*,Victoria,Dry,,,,,,,,,,
$23.8,1,$23.8,Durif 750mL,https://www.danmurphys.com.au/product/DM_812370/cofield-durif-750ml,Durif,Durif,750mL,8,13.5%,Australia,Cofield,Screw Cap,,,Rutherglen,2013*,,Dry,,,,,,,,,,
$10.5,6,$10.5,Deen Vat 1 Durif,https://www.danmurphys.com.au/product/DM_54087/de-bortoli-deen-vat-1-durif,Durif,Durif,750mL,8.3,14.000000000000002%,Australia,De Bortoli,Screw Cap,,,,2017*,New South Wales,Dry,,,,,,,,,,
$22.4,1,$22.4,Ballerina Canopy Durif,https://www.danmurphys.com.au/product/DM_908804/gapsted-ballerina-canopy-durif,Durif,Durif,750mL,8.6,15%,Australia,Gapsted,Cork,,,King Valley,2017*,Victoria,Dry,,,,,,,,,,
$3.5,1,$3.5,Durif,https://www.danmurphys.com.au/product/DM_491177/gossips-durif,Durif,Durif,750mL,7.7,13.0%,Australia,Gossips,Screw Cap,,,,2018*,,Dry,,,,,,,,,,
$19.0,6,$30.0,Durif 2018,https://www.danmurphys.com.au/product/DM_ER_2000003134_HCDU18/hand-crafted-by-geoff-hardy-durif-2018,Durif,Durif,750mL,8.6,14.5,Australia,Hand Crafted by Geoff Hardy,Screw Cap,,,Adelaide Hills,,South Australia,Dry,,,,Beef,Geoff Hardy / Shane Harris,,Full Bodied,,,
$10.0,1,$10.0,Durif,https://www.danmurphys.com.au/product/DM_99198/morris-durif,Durif,Durif,750mL,8.6,14.5% (2010),Australia,Morris,Screw Cap,,,Rutherglen,2010*,Victoria,Dry,,,,,,,,,,
$20.670833333333334,12,$20.89,Durif 2004,https://www.danmurphys.com.au/product/DM_916122/morris-durif-2004,Durif,Durif,750mL,8.3,14.00%,Australia,Morris,Cork,,,Rutherglen,2004,Victoria,Dry,,,,,,,,true,,
$20.9,1,$20.9,Durif,https://www.danmurphys.com.au/product/DM_905997/rutherglen-estates-durif,Durif,Durif,750mL,8.6,14.499999999999998%,Australia,Rutherglen Estates,Screw Cap,,,Rutherglen,2015*,Victoria,Dry,,,,,,,,,,
$10.0,1,$10.0,Durif,https://www.danmurphys.com.au/product/DM_909127/the-bruiser-durif,Durif,Durif,750mL,8.7,14.0% (2013),Australia,The Bruiser,Screw Cap,,,Rutherglen,2013*,Victoria,Dry,,,,,Roland Kaval,,,,,
$21.849999999999998,6,$21.85,Durif,https://www.danmurphys.com.au/product/DM_899161/the-doctor-durif,Durif,Durif,750mL,8.3,15%,Australia,The Doctor,Screw Cap,,,,2016*,Victoria,Dry,,,,,,,,,,
$16.5,1,$16.5,Barossa Valley Dutchmans Durif 2017,https://www.danmurphys.com.au/product/DM_ER_2000003624_L1802/vanden-barossa-valley-dutchmans-durif-2017,Durif,Durif,750mL,9.1,15.5%,Australia,Vanden,Screw Cap,,,Barossa Valley,2017,South Australia,Dry,,,,Beef,Richard Byllaardt,,,,,
$3.8329166666666663,24,$5.99,Cordon Negro Brut Piccolo Cava 200mL,https://www.danmurphys.com.au/product/DM_906396/freixenet-cordon-negro-brut-piccolo-cava-200ml,Sparkling Piccolo,Parellada Macabeo Xarel·lo,200mL,1.8,11.0%,Spain,Freixenet,Screw Cap,,,Penedes,Non Vintage*,,Dry,,,,,Josep Bujan,,,,,
$8.549999999999999,24,$8.55,Italian Sparkling Rose Piccolo 200mL,https://www.danmurphys.com.au/product/DM_847744/freixenet-italian-sparkling-rose-piccolo-200ml,Sparkling Piccolo,Sparkling White,200mL,1.7,11.0%,Spain,Freixenet,Cork,,,,Non Vintage,,Dry,,,,,,,,,,
$8.549999999999999,24,$8.55,Prosecco Piccolo 200mL,https://www.danmurphys.com.au/product/DM_847654/freixenet-prosecco-piccolo-200ml,Sparkling Piccolo,Sparkling White,200mL,1.7,11.0%,Spain,Freixenet,Cork,,,,Non Vintage,,Dry,,,,,,,,,,
